source_file,WALL,층수,두께,수직철근,횡방향 띠철근 상세,수평철근
calculation_0.png,AW1,11F ~ 28F,300,D10@400,-,D10@230
calculation_0.png,AW1,1F ~ 10F,300,D10@150,-,D10@110
calculation_0.png,AW1,PITF,300,-,-,-
calculation_0.png,AW1,B1F,300,D13@150,-,-
calculation_0.png,AW1,B2F,300,D10@300,-,D10@230
calculation_0.png,AW1A,26F ~ 28F,250,D10@450,-,D10@350
calculation_0.png,AW1A,24F ~ 25F,250,D10@150,-,D10@230
calculation_0.png,AW1A,23F,250,D10@300,-,D10@290
calculation_0.png,AW1A,12F ~ 22F,300,D10@400,-,D10@230
calculation_0.png,AW1A,B1F ~ 11F,300,D10@150,-,D10@290
calculation_0.png,AW1A,B2F,300,D10@450,-,D10@440
calculation_0.png,AW2,6F ~ 28F,200,D10@450,-,D10@270
calculation_0.png,AW2,5F,200,D10@200,-,D10@110
calculation_0.png,AW2,3F ~ 4F,200,D13@150,-,D10@270
calculation_0.png,AW2,1F ~ 2F,200,D13@100,횡방향 띠철근 상세,-
calculation_0.png,AW2,PITF,200,D16@100,횡방향 띠철근 상세,-
calculation_0.png,AW2,B1F ~ B2F,250,D10@300,-,D10@140
calculation_0.png,AW3,5F ~ 28F,200,D10@450,-,D10@350
calculation_0.png,AW3,4F,200,D10@200,-,D10@280
calculation_0.png,AW3,2F ~ 3F,200,D13@150,-,D10@350
calculation_0.png,AW3,1F,200,D13@100,횡방향 띠철근 상세,-
calculation_0.png,AW3,B1F ~ PITF,200,D10@100,횡방향 띠철근 상세,-
calculation_0.png,AW3,B2F,250,D10@300,-,D10@270
calculation_0.png,AW4,3F ~ 28F,250,D10@450,-,D10@270
calculation_0.png,AW4,2F,250,D10@150,-,D10@120
calculation_0.png,AW4,1F,250,D13@150,-,D10@270
calculation_0.png,AW4,PITF,250,D13@100,횡방향 띠철근 상세,D10@120
calculation_0.png,AW5,28F,200,D10@250,-,D10@270
calculation_0.png,AW5,1F ~ 27F,200,D10@450,-,D10@250
calculation_0.png,AW5,B2F ~ PITF,250,D10@450,-,D10@270
calculation_0.png,AHW1,28F,250,6 - D10,-,D10@270
calculation_0.png,AHW1,26F ~ 27F,250,8 - D10,-,D10@200
calculation_0.png,AHW1,24F ~ 25F,250,10 - D10,-,D10@270
calculation_0.png,AHW1,20F ~ 23F,250,12 - D10,-,D10@200
calculation_0.png,AHW1,15F ~ 19F,250,14 - D10,-,D10@270
calculation_0.png,AHW1,14F,250,8 - D13,-,D10@170
calculation_0.png,AHW1,7F ~ 13F,250,10 - D13,-,D10@270
calculation_0.png,AHW1,5F ~ 6F,250,12 - D13,-,D10@170
calculation_0.png,AHW1,4F,250,14 - D13,-,D10@200
calculation_0.png,AHW1,3F,250,12 - D16,횡방향 띠철근 상세,D10@200
calculation_0.png,AHW1,2F,250,10 - D16,횡방향 띠철근 상세,D10@270
calculation_0.png,AHW1,B1F ~ 2F,250,10 - D16,횡방향 띠철근 상세,D10@200
calculation_0.png,AHW1,B2F,250,14 - D10,-,D10@270
calculation_0.png,AHW2,6F ~ 28F,250,8 - D10,-,D10@270
calculation_0.png,AHW2,2F ~ 5F,250,6 - D10,-,D10@120
calculation_0.png,AHW2,1F,250,8 - D10,-,D10@270
calculation_0.png,AHW2,B2F ~ PITF,250,6 - D10,-,D10@120
calculation_0.png,AHW3,2F ~ 28F,250,D10@450,-,D10@270
calculation_0.png,AHW3,1F,250,D10@300,-,D10@250
